"1800",1213000
"1820",1213000
"1850",2217000
"1870",2786000
"1871",2820000
"1872",2842000
"1873",2863000
"1874",2885000
"1875",2908000
"1876",2930000
"1877",2952000
"1878",2975000
"1879",2998000
"1880",3021000
"1881",3044000
"1882",3073000
"1883",3107000
"1884",3144000
"1885",3170000
"1886",3194000
"1887",3221000
"1888",3261000
"1889",3311000
"1890",3343000
"1891",3404000
"1892",3470000
"1893",3524000
"1894",3584000
"1895",3626000
"1896",3693000
"1897",3752000
"1898",3820000
"1899",3874000
"1900",3912000
"1901",4031000
"1902",4071000
"1903",4156000
"1904",4233000
"1905",4383000
"1906",4458000
"1907",4467000
"1908",4520000
"1909",4585000
"1910",4668000
"1911",4757000
"1912",4784000
"1913",4811000
"1914",4838000
"1915",4905000
"1916",4971000
"1917",5040000
"1918",5109000
"1919",5179000
"1920",5250000
"1921",5304000
"1922",5367000
"1923",5426000
"1924",5452000
"1925",5505000
"1926",5545000
"1927",5591000
"1928",5730000
"1929",5669000
"1930",5707000
"1931",5748000
"1932",5788000
"1933",5825000
"1934",5872000
"1935",5897000
"1936",5943000
"1937",5989000
"1938",6045000
"1939",6095000
"1940",6134000
"1941",6169000
"1942",6191000
"1943",6296000
"1944",6442000
"1945",6650000
"1946",6854000
"1947",7037000
"1948",7244000
"1949",7455000
"1950",7533097
"1951",7752374
"1952",7982342
"1953",8221291
"1954",8457223
"1955",8678721
"1956",8898480
"1957",9128546
"1958",9361755
"1959",9609556
"1960",9879178
"1961",10151799
"1962",10421936
"1963",10686957
"1964",10942373
"1965",11202264
"1966",11469679
"1967",11737396
"1968",12010095
"1969",12275330
"1970",12531522
"1971",12776057
"1972",13016733
"1973",13245615
"1974",13449623
"1975",13660275
"1976",13887354
"1977",14116836
"1978",14370898
"1979",14648618
"1980",14900181
"1981",15151762
"1982",15410151
"1983",15618275
"1984",15810021
"1985",16020699
"1986",16256077
"1987",16495304
"1988",16734716
"1989",16970982
"1990",17192896
"1991",17390974
"1992",17587060
"1993",17825536
"1994",18075443
"1995",18304268
"1996",18509760
"1997",18698655
"1998",18884614
"1999",19064642
"2000",19238575
"2001",19408635
"2002",19576783
"2003",19742439
"2004",19905165
"2005",20064776
"2006",20222240
"2007",20378239
"2008",20532150
"2030",22937028
